INFO: Waiting for solution ...
INFO: Algorithm took 0.003 seconds.
INFO: Step 001 - from (2, 2) to (0, 2) ; cost 2
INFO: Step 070 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 071 - from (0, 3) to (0, 6) ; cost 3
INFO: Step 072 - from (0, 6) to (0, 3) ; cost 3
INFO: Step 073 - from (0, 3) to (5, 3) ; cost 5
INFO: Step 074 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 075 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 076 - from (5, 0) to (5, 2) ; cost 2
INFO: Step 077 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 078 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 079 - from (5, 2) to (5, 0) ; cost 2
INFO: Step 080 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 081 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 082 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 083 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 084 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 085 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 086 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 087 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 088 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 089 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 090 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 091 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 092 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 093 - from (0, 5) to (0, 6) ; cost 1
INFO: Step 094 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 095 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 096 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 097 - from (0, 6) to (0, 1) ; cost 5
INFO: Step 098 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 099 - from (0, 1) to (5, 1) ; cost 5
INFO: Step 100 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 101 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 102 - from (5, 1) to (5, 0) ; cost 1
INFO: Step 103 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 104 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 105 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 106 - from (0, 3) to (5, 3) ; cost 5
INFO: Step 107 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 108 - from (0, 3) to (5, 3) ; cost 5
INFO: Step 109 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 110 - from (5, 3) to (5, 0) ; cost 3
INFO: Step 111 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 112 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 113 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 114 - from (5, 6) to (5, 5) ; cost 1
INFO: Step 115 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 116 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 117 - from (5, 3) to (5, 0) ; cost 3
INFO: Step 118 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 119 - from (0, 5) to (0, 1) ; cost 4
INFO: Step 120 - from (0, 1) to (5, 1) ; cost 5
INFO: Step 121 - from (5, 1) to (5, 3) ; cost 2
INFO: Step 122 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 123 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 124 - from (0, 3) to (0, 6) ; cost 3
INFO: Step 125 - from (0, 2) to (2, 2) ; cost 2
INFO: Step 126 - from (2, 2) to (2, 6) ; cost 4
INFO: Path length is 126 steps.
INFO: Path cost is 501 units.
